230,1233
966,1047
1290,1425
1472,159
420,173
594,493
1018,1015
416,189
580,1297
1092,291
48,759
360,1577
322,275
1400,611
122,1391
164,401
196,1613
764,957
1742,587
1346,1453
874,123
1600,1717
1630,1107
912,941
1262,1235
1414,425
1742,1781
990,679
378,193
862,619
710,53
840,1299
132,1575
644,1375
1220,1453
1096,903
1022,475
384,409
1726,377
8,1363
200,617
1380,1223
1290,1479
406,1245
266,53
754,925
1554,1667
1702,1765
1512,1497
4,1169
1730,1089
978,1427
838,365
642,1657
1480,265
158,589
1328,1347
1616,305
1412,845
1056,33
398,189
1508,1551
100,1209
1072,321
1160,699
1748,1351
1376,581
178,705
1718,1655
1366,1679
324,1667
1460,1245
1330,391
1408,665
634,71
1202,877
92,1373
1398,25
1462,1659
244,135
92,901
588,1653
454,1161
296,749
1690,1493
398,1071
1300,1433
34,73
282,303
626,409
1460,255
1078,767
1378,1441
676,1267
1206,693
900,1459
1436,479
646,1301
1470,5
860,201
1390,787
358,267
1246,729
1782,1089
372,1131
1738,29
1356,843
514,857
1738,1627
578,1299
1108,373
1176,723
112,167
1504,41
456,1033
1692,1753
1510,1451
1386,589
1468,443
1564,1081
1620,1123
488,9
448,147
1640,1715
1406,35
214,1261
906,997
318,1443
254,87
1720,1431
520,1679
1738,789
212,1355
1016,849
844,9
782,899
76,1357
176,1401
1360,809
1256,1443
1194,1375
752,1391
1718,817
72,131
450,1567
330,109
1108,1333
1142,347
1274,1751
248,443
208,705
1210,963
1028,445
1164,1625
254,425
1392,937
1024,1579
408,1369
1362,1725
1766,1173
160,1639
1492,1511
1222,477
646,901
500,875
538,911
380,1587
1556,9
364,447
526,1303
698,1439
1418,583
1152,1043
174,1507
1436,241
1686,993
316,1125
518,1273
1466,613
1068,1481
556,865
1496,1713
270,655
940,1645
868,1285
1324,1633
1056,259
54,1109
178,385
604,1389
1108,585
58,1693
650,243
266,87
1288,941
816,1585
242,1065
822,317
1000,383
494,1395
50,1173
1454,539
708,1553
428,969
510,1219
638,1375
876,1737
1554,1531
620,1393
100,1527
766,1757
1752,549
756,1267
1512,351
1742,65
718,625
842,1115
1212,403
1470,1733
1434,525
460,1725
312,1241
1604,1351
260,561
1298,1087
112,735
988,1093
302,1609
1342,13
1620,1635
1368,1533
1740,931
802,1331
1118,503
636,1111
1240,1495
1410,835
296,509
1144,1741
1290,463
172,1669
324,483
714,1479
16,19
478,1241
810,597
476,621
196,745
1560,63
678,635
1470,1203
1290,1127
1516,63
1302,367
1068,119
1780,1577
1610,1337
648,1201
530,1353
488,1335
202,23
1114,1371
370,1431
1474,1429
1430,719
1272,205
